society,price,place,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
divine,0.41,new garia,4500.0,911.0,Super Built up area 800(74.32 sq.m.),2.0,2,1,3,North,Relatively New,South,800.0,,,0,0,0,0,0,0,40.0
kalindi housing estate,0.62,kal,5719.0,1084.0,Super Built up area 1084(100.71 sq.m.)Carpet area: 815 sq.ft. (75.72 sq.m.),3.0,2,1,4,North,Moderately Old,North,1084.0,,815.0,0,0,0,0,0,0,56.0
kendriya vihar phase 2,0.75,khalisha kota,4662.0,1609.0,Super Built up area 1716(159.42 sq.m.)Built Up area: 1457 sq.ft. (135.36 sq.m.),3.0,3,3,2,South,Relatively New,North,1716.0,1457.0,,0,0,0,0,0,0,55.0
purbachal housing society,0.85,salt lake,8500.0,1000.0,Super Built up area 1000(92.9 sq.m.),3.0,2,2,0,,Moderately Old,North,1000.0,,,0,0,0,0,0,0,0.0
pratiksha apartments.,0.68,behala,5647.0,1204.0,Super Built up area 1204(111.86 sq.m.),3.0,2,2,5,South,New Property,South,1204.0,,,0,0,0,0,0,0,49.0
srijan eternia,0.38,madhyamgram,4470.0,850.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,5,,New Property,North,850.0,,,0,0,0,0,0,0,94.0
magnolia city,0.34,barasat,3090.0,1100.0,Super Built up area 1100(102.19 sq.m.),3.0,2,1,1,East,Moderately Old,North,1100.0,,,0,0,0,0,0,2,106.0
deb bhumi apartment,0.26,dum dum,3586.0,725.0,Super Built up area 725(67.35 sq.m.)Built Up area: 625 sq.ft. (58.06 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2.0,2,1,4,North-East,New Property,North,725.0,625.0,600.0,0,0,0,0,0,0,13.0
classic enclave,0.58,ballygunge,6444.0,900.0,Super Built up area 900(83.61 sq.m.),2.0,2,1,2,North-East,Relatively New,South,900.0,,,0,0,0,0,0,0,28.0
mandakranta apartments,0.65,behala,5245.0,1239.0,Super Built up area 1468(136.38 sq.m.)Carpet area: 1170 sq.ft. (108.7 sq.m.),4.0,2,2,2,South-West,Old Property,South,1468.0,,1170.0,1,0,0,1,1,0,24.0
asha kiran apartments,0.65,krishnapur,4777.0,1361.0,Super Built up area 1350(125.42 sq.m.),3.0,2,1,4,North-West,Old Property,North,1350.0,,,0,0,0,0,0,2,13.0
loharuka green enclave,0.4,rajarhat,4220.0,948.0,Super Built up area 936(86.96 sq.m.),2.0,2,1,1,,Relatively New,East,936.0,,,0,0,0,0,0,0,39.0
eden richmond park,0.43,narendrapur,3934.0,1093.0,Super Built up area 1220(113.34 sq.m.),3.0,2,1,3,,Relatively New,South,1220.0,,,0,0,0,0,0,0,8.0
mayfair palms,0.38,sonarpur,4691.0,810.0,Super Built up area 1100(102.19 sq.m.)Carpet area: 810 sq.ft. (75.25 sq.m.),2.0,2,2,3,North,Moderately Old,South,1100.0,,810.0,0,0,0,0,0,0,43.0
panchavati complex,0.4,kaikhali,4678.0,855.0,Super Built up area 855(79.43 sq.m.)Carpet area: 630 sq.ft. (58.53 sq.m.),2.0,2,1,2,East,Old Property,North,855.0,,630.0,0,0,0,0,0,2,21.0
"neelisha apartment, southern bypass",0.32,narendrapur,3499.0,915.0,Super Built up area 925(85.94 sq.m.),2.0,2,1,2,East,New Property,South,925.0,,,0,0,0,0,0,0,46.0
"sanjbati, balia, garia",0.2,garia,3333.0,600.0,Super Built up area 600(55.74 sq.m.),1.0,1,1,2,,Relatively New,East,600.0,,,0,0,0,0,0,0,40.0
on request,0.31,behala,3647.0,850.0,Super Built up area 850(78.97 sq.m.)Carpet area: 680 sq.ft. (63.17 sq.m.),1.0,1,1,3,East,Relatively New,South,850.0,,680.0,0,0,0,0,0,0,21.0
gayatri apartment,0.33,krishnapur,3800.0,868.0,Super Built up area 855(79.43 sq.m.),2.0,2,1,4,East,Moderately Old,North,855.0,,,0,0,0,0,0,0,26.0
karunamaya apartment,0.44,dum dum,6241.0,705.0,Super Built up area 1125(104.52 sq.m.)Built Up area: 925 sq.ft. (85.94 sq.m.)Carpet area: 705 sq.ft. (65.5 sq.m.),3.0,2,1,4,East,Old Property,North,1125.0,925.0,705.0,0,0,0,0,0,0,83.0
sunbright residency,2.35,tollygunge,8794.0,2672.0,Super Built up area 2672(248.24 sq.m.),4.0,3,3,4,South-West,Relatively New,South,2672.0,,,0,0,0,0,0,0,7.0
anukriti apartment,0.38,garia,2714.0,1400.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3.0,2,0,1,South-East,Old Property,South,1400.0,1150.0,900.0,0,0,0,0,0,0,18.0
uttarapan apartment,0.45,dum dum,4620.0,974.0,Super Built up area 1220(113.34 sq.m.)Carpet area: 974 sq.ft. (90.49 sq.m.),3.0,2,1,4,North-East,Relatively New,North,1220.0,,974.0,0,0,0,0,0,1,0.0
sagarika apartment,0.09,bhadrakali,2000.0,450.0,Super Built up area 467(43.39 sq.m.)Built Up area: 360 sq.ft. (33.45 sq.m.)Carpet area: 350 sq.ft. (32.52 sq.m.),1.0,1,0,1,South-West,Moderately Old,West,467.0,360.0,350.0,0,0,0,0,1,0,6.0
basdroni,0.28,naktala,6292.0,445.0,Super Built up area 445(41.34 sq.m.),2.0,1,0,0,South,Old Property,South,445.0,,,1,0,0,0,0,0,0.0
selimpur road,0.85,dhakuria,6049.0,1405.0,Super Built up area 1405(130.53 sq.m.)Built Up area: 1270 sq.ft. (117.99 sq.m.),3.0,2,1,1,South,Old Property,South,1405.0,1270.0,,0,0,0,0,0,1,41.0
ideal regency,0.75,behala,5084.0,1475.0,Super Built up area 1475(137.03 sq.m.)Carpet area: 1106 sq.ft. (102.75 sq.m.),3.0,2,1,5,South-East,Moderately Old,South,1475.0,,1106.0,0,0,0,0,0,0,28.0
siddha xanadu condominium,0.56,rajarhat,6030.0,929.0,Super Built up area 995(92.44 sq.m.),2.0,2,1,9,South-East,Relatively New,East,995.0,,,0,0,0,0,1,0,81.0
siddha happyville,0.58,rajarhat,5846.0,992.0,Super Built up area 925(85.94 sq.m.),2.0,2,1,19,South-East,Relatively New,East,925.0,,,0,0,0,0,0,0,131.0
realtech the indiana,0.3,rajarhat,4700.0,638.0,Super Built up area 634(58.9 sq.m.),2.0,2,1,2,,New Property,East,634.0,,,0,0,0,0,0,0,78.0
7/3 chandra nath roy road,0.29,tiljala,4500.0,644.0,Super Built up area 650(60.39 sq.m.),2.0,1,0,1,South,Old Property,South,650.0,,,0,0,0,0,0,1,6.0
on request new,0.46,nayabad,4181.0,1100.0,Super Built up area 1100(102.19 sq.m.),3.0,2,1,2,South-East,Relatively New,South,1100.0,,,0,0,0,0,1,0,31.0
roop apartment,0.45,subodh garden,4390.0,1025.0,Super Built up area 1025(95.23 sq.m.),3.0,2,2,0,South,Moderately Old,South,1025.0,,,0,0,0,0,0,0,0.0
bengal peerless anupama housing complex,0.49,kaikhali,5148.0,952.0,Super Built up area 1010(93.83 sq.m.)Carpet area: 840 sq.ft. (78.04 sq.m.),3.0,2,1,0,South-East,Old Property,East,1010.0,,840.0,0,0,0,0,0,0,122.0
subhasini abasan,0.3,garia,3454.0,869.0,Super Built up area 825(76.65 sq.m.)Built Up area: 803 sq.ft. (74.6 sq.m.)Carpet area: 575 sq.ft. (53.42 sq.m.),2.0,2,1,2,West,Old Property,South,825.0,803.0,575.0,0,0,0,1,0,2,6.0
falguni aparmnet,0.3,kalyani,4137.0,725.0,Super Built up area 725(67.35 sq.m.),2.0,2,1,1,North,Old Property,North,725.0,,,0,0,0,1,0,0,25.0
propterior,1.9,desopriya park,11543.0,1646.0,Super Built up area 1646(152.92 sq.m.),3.0,3,1,1,East,Relatively New,South,1646.0,,,0,0,0,0,0,0,34.0
bijoy apartment,0.29,rajarhat,3500.0,829.0,Super Built up area 842(78.22 sq.m.),2.0,2,1,4,North-West,Relatively New,East,842.0,,,0,0,0,0,0,0,45.0
bina niketan,0.36,rajarhat,3100.0,1161.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,1,East,Relatively New,East,1150.0,,,0,0,0,0,0,0,45.0
on request,0.24,dash drone,3000.0,800.0,Super Built up area 816(75.81 sq.m.),2.0,2,1,2,West,Relatively New,East,816.0,,,0,0,0,0,0,0,7.0
swapnopuron dashdran,0.34,dash drone,3000.0,1133.0,Super Built up area 1124(104.42 sq.m.),3.0,2,2,2,West,Relatively New,East,1124.0,,,0,0,0,0,0,0,7.0
rudra jyangra battala,0.18,baguiati,2676.0,673.0,Super Built up area 655(60.85 sq.m.),2.0,2,1,1,East,Relatively New,North,655.0,,,0,0,0,0,0,0,7.0
rudra jyangra battala,0.2,baguiati,2700.0,741.0,Super Built up area 742(68.93 sq.m.),2.0,2,1,2,South,Relatively New,North,742.0,,,0,0,0,0,0,0,7.0
on request,0.19,baguiati,2697.0,704.0,Super Built up area 718(66.7 sq.m.),2.0,2,1,3,South-West,Relatively New,North,718.0,,,0,0,0,0,0,0,7.0
rudra jyangra battala,0.3,baguiati,2698.0,1112.0,Super Built up area 1130(104.98 sq.m.),3.0,2,1,2,North-East,Relatively New,North,1130.0,,,0,0,0,0,0,0,7.0
blue sky jhilbagan,0.21,baguiati,2557.0,821.0,Super Built up area 821(76.27 sq.m.),2.0,2,1,4,South-West,Relatively New,North,821.0,,,0,0,0,0,0,0,7.0
on request,0.23,baguiati,2652.0,867.0,Super Built up area 867(80.55 sq.m.),2.0,2,1,1,West,Relatively New,North,867.0,,,0,0,0,0,0,0,7.0
on request,6.88,rowland row,21014.0,3274.0,Super Built up area 3274(304.16 sq.m.),4.0,4,1,4,South,Moderately Old,South,3274.0,,,0,1,0,0,0,0,54.0
on request,3.5,alipore,10086.0,3470.0,Super Built up area 3470(322.37 sq.m.),4.0,4,1,2,South,Moderately Old,South,3470.0,,,0,0,0,0,1,0,54.0
on request,2.9,alipore,11600.0,2500.0,Super Built up area 2500(232.26 sq.m.),4.0,4,1,3,South,Moderately Old,South,2500.0,,,0,0,0,0,1,0,54.0
merlin the one,1.5,tollygunge,11235.0,1335.0,Super Built up area 1335(124.03 sq.m.),3.0,2,1,4,South,Relatively New,South,1335.0,,,0,0,0,0,1,0,54.0
southwinds,0.45,garia,4782.0,941.0,Super Built up area 941(87.42 sq.m.),2.0,2,1,9,South-East,New Property,South,941.0,,,0,0,0,0,0,0,179.0
primarc southwinds,0.45,em bypass,4610.0,976.0,Super Built up area 976(90.67 sq.m.),2.0,2,1,8,South-East,Relatively New,South,976.0,,,0,0,0,0,0,0,186.0
southwinds,0.45,garia,4629.0,972.0,Super Built up area 972(90.3 sq.m.),2.0,2,1,6,South-East,New Property,South,972.0,,,0,0,0,0,0,0,192.0
primarc southwinds,0.46,em bypass,4661.0,987.0,Super Built up area 976(90.67 sq.m.),2.0,2,1,6,South-East,New Property,South,976.0,,,0,0,0,0,0,0,199.0
primarc southwinds,0.68,em bypass,5250.0,1295.0,Super Built up area 1295(120.31 sq.m.),3.0,2,1,10,South,New Property,South,1295.0,,,0,0,0,0,0,0,186.0
primarc southwinds,0.75,em bypass,5836.0,1285.0,Super Built up area 1285(119.38 sq.m.),3.0,2,1,7,South-East,Relatively New,South,1285.0,,,0,0,0,0,0,0,207.0
on request,3.95,southern avenue,16492.0,2395.0,Super Built up area 2395(222.5 sq.m.),4.0,4,1,3,South,Relatively New,South,2395.0,,,0,0,0,0,1,0,54.0
on request new alipore,3.68,alipore,10514.0,3500.0,Super Built up area 3500(325.16 sq.m.),5.0,5,2,4,South,Relatively New,South,3500.0,,,0,0,0,0,1,0,54.0
on request,1.85,alipore,10571.0,1750.0,Super Built up area 1750(162.58 sq.m.),3.0,3,1,2,South,Relatively New,South,1750.0,,,0,0,0,0,1,0,54.0
flora fountain,1.5,tangra,11450.0,1310.0,Super Built up area 1310(121.7 sq.m.)Built Up area: 982 sq.ft. (91.23 sq.m.)Carpet area: 865 sq.ft. (80.36 sq.m.),3.0,2,1,16,South,Relatively New,East,1310.0,982.0,865.0,0,1,0,0,0,0,54.0
flora fountain,2.0,tangra,10626.0,1882.0,Super Built up area 1882(174.84 sq.m.),4.0,3,1,19,South,Relatively New,East,1882.0,,,0,1,0,0,0,0,54.0
on request,1.75,alipore,9090.0,1925.0,Super Built up area 1925(178.84 sq.m.),3.0,3,1,3,South,Moderately Old,South,1925.0,,,0,1,0,0,0,0,54.0
on request,4.75,alipore,13194.0,3600.0,Super Built up area 3600(334.45 sq.m.),4.0,5,1,7,South,Relatively New,South,3600.0,,,0,1,0,0,0,0,54.0
on request,2.98,southern avenue,11028.0,2702.0,Super Built up area 2702(251.02 sq.m.),4.0,3,2,5,South-East,Relatively New,South,2702.0,,,0,0,0,0,1,0,54.0
on request,4.35,alipore,14500.0,3000.0,Super Built up area 3000(278.71 sq.m.),4.0,5,2,10,South,Relatively New,South,3000.0,,,0,1,0,0,0,0,54.0
on request,2.7,alipore,7714.0,3500.0,Super Built up area 3500(325.16 sq.m.),5.0,5,3+,9,South,Moderately Old,South,3500.0,,,0,1,1,0,0,0,54.0
southwinds,0.45,garia,5107.0,881.0,Super Built up area 881(81.85 sq.m.),2.0,2,1,4,South,Relatively New,South,881.0,,,0,0,0,0,1,0,42.0
southwinds,0.5,garia,5263.0,950.0,Super Built up area 950(88.26 sq.m.),2.0,2,1,9,South,Relatively New,South,950.0,,,0,0,0,0,1,0,42.0
southwinds,0.45,garia,5287.0,851.0,Super Built up area 851(79.06 sq.m.),2.0,2,1,2,West,Relatively New,South,851.0,,,0,0,0,0,1,0,42.0
southwinds,0.45,garia,5119.0,879.0,Super Built up area 881(81.85 sq.m.),2.0,2,1,7,West,Relatively New,South,881.0,,,0,0,0,0,1,0,42.0
southwinds,0.45,garia,5056.0,890.0,Super Built up area 880(81.75 sq.m.),2.0,2,1,4,South,Relatively New,South,880.0,,,0,0,0,0,1,0,42.0
southwinds,0.75,garia,6521.0,1150.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,6,South,Relatively New,South,1150.0,,,0,0,0,0,1,0,42.0
southwinds,0.5,garia,5144.0,972.0,Super Built up area 972(90.3 sq.m.),2.0,2,1,10,South,Relatively New,South,972.0,,,0,0,0,0,1,0,42.0
southwinds,0.68,garia,5738.0,1185.0,Super Built up area 1185(110.09 sq.m.),3.0,2,1,11,West,Relatively New,South,1185.0,,,0,0,0,0,1,0,42.0
southwinds,0.7,garia,5447.0,1285.0,Super Built up area 1285(119.38 sq.m.),3.0,2,1,7,North-West,Relatively New,South,1285.0,,,0,0,0,0,0,0,42.0
srijan eternia,0.46,madhyamgram,4291.0,1072.0,Super Built up area 1072(99.59 sq.m.)Carpet area: 748 sq.ft. (69.49 sq.m.),3.0,3,1,2,North-East,New Property,North,1072.0,,748.0,0,0,0,0,1,0,54.0
npr waterside,0.23,sodepur,2513.0,915.0,Super Built up area 935(86.86 sq.m.),2.0,2,2,4,South-West,Moderately Old,North,935.0,,,0,0,0,0,1,0,39.0
siddha waterfront,0.3,khardah,3636.0,825.0,Super Built up area 825(76.65 sq.m.)Built Up area: 659 sq.ft. (61.22 sq.m.),2.0,2,1,9,South-East,New Property,North,825.0,659.0,,0,0,0,0,1,0,42.0
godrej prakriti,0.58,sodepur,5267.0,1101.0,Super Built up area 1101(102.29 sq.m.),3.0,2,1,19,South-East,Relatively New,North,1101.0,,,0,0,0,0,1,2,34.0
alcove new kolkata prayag,0.52,serampore,5000.0,1040.0,Super Built up area 1040(96.62 sq.m.)Built Up area: 780 sq.ft. (72.46 sq.m.),3.0,3,1,24,South-East,New Property,West,1040.0,780.0,,0,0,0,0,1,0,47.0
reliable swabhumi apartment,0.28,sodepur,2900.0,966.0,Super Built up area 970(90.12 sq.m.),2.0,2,2,4,North-East,New Property,North,970.0,,,0,0,0,0,1,0,31.0
godrej prakriti,0.65,sodepur,4782.0,1359.0,Super Built up area 1359(126.26 sq.m.),3.0,2,2,19,North-West,Moderately Old,North,1359.0,,,0,0,0,0,1,1,34.0
clubtown heights,0.65,rathtala,6598.0,985.0,Super Built up area 985(91.51 sq.m.),2.0,2,1,2,North-West,Relatively New,North,985.0,,,0,0,0,0,1,0,54.0
aryan towers,0.42,madhyamgram,3127.0,1343.0,Super Built up area 1359(126.26 sq.m.)Carpet area: 1107 sq.ft. (102.84 sq.m.),2.0,2,1,10,South-West,Relatively New,North,1359.0,,1107.0,0,0,0,0,1,0,34.0
on request,0.4,dum dum,3250.0,1231.0,Super Built up area 1239(115.11 sq.m.),3.0,2,1,1,East,Relatively New,North,1239.0,,,0,0,0,0,0,0,41.0
on request,0.45,mukundapur,4281.0,1051.0,Super Built up area 1051(97.64 sq.m.),2.0,2,1,3,North,Relatively New,South,1051.0,,,0,0,0,0,0,0,6.0
on request,0.46,mukundapur,4372.0,1052.0,Super Built up area 1050(97.55 sq.m.),2.0,2,1,4,South,Relatively New,South,1050.0,,,0,0,0,0,1,0,0.0
on requst,0.52,mukundapur,4101.0,1268.0,Super Built up area 1275(118.45 sq.m.),3.0,2,1,1,North,Relatively New,South,1275.0,,,0,0,0,0,0,0,0.0
on request,0.62,ch,5016.0,1236.0,Super Built up area 1236(114.83 sq.m.),3.0,2,1,3,North-West,Relatively New,East,1236.0,,,0,0,0,0,1,0,19.0
on request,0.5,ch,5882.0,850.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,2,North-East,Relatively New,East,850.0,,,0,0,0,0,1,0,19.0
on request,0.5,ch,5882.0,850.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,2,West,Relatively New,East,850.0,,,0,0,0,0,1,0,19.0
on request,0.55,new town,5789.0,950.0,Super Built up area 950(88.26 sq.m.),2.0,2,1,4,West,Relatively New,East,950.0,,,0,0,0,0,1,0,19.0
on request,0.5,new town,5555.0,900.0,Super Built up area 900(83.61 sq.m.),2.0,2,1,3,South-East,Relatively New,East,900.0,,,0,0,0,0,1,0,19.0
on request,0.65,new town,5909.0,1100.0,Super Built up area 1100(102.19 sq.m.),3.0,2,1,3,South-East,Relatively New,East,1100.0,,,0,0,0,0,1,0,19.0
on request,0.68,new town,5333.0,1275.0,Super Built up area 1275(118.45 sq.m.),3.0,2,1,2,North-East,Relatively New,East,1275.0,,,0,0,0,0,1,0,19.0
on request,0.5,new town,5549.0,901.0,Super Built up area 901(83.71 sq.m.),2.0,2,1,3,East,Relatively New,East,901.0,,,0,0,0,0,1,0,19.0
on request,0.53,new town,5888.0,900.0,Super Built up area 900(83.61 sq.m.),2.0,2,1,4,South,Relatively New,East,900.0,,,0,0,0,0,1,0,19.0
on request,0.71,new town,5440.0,1305.0,Super Built up area 1305(121.24 sq.m.),3.0,2,1,4,South,Relatively New,East,1305.0,,,0,0,0,0,1,0,19.0
on request,0.55,new town,6043.0,910.0,Super Built up area 910(84.54 sq.m.),2.0,2,1,3,North-West,Relatively New,East,910.0,,,0,0,0,0,1,0,19.0
on request,0.65,new town,5371.0,1210.0,Super Built up area 1210(112.41 sq.m.),3.0,2,1,3,North-East,Relatively New,East,1210.0,,,0,0,0,0,1,0,19.0
on request,0.7,new town,5384.0,1300.0,Super Built up area 1300(120.77 sq.m.),3.0,2,1,4,North,Relatively New,East,1300.0,,,0,0,0,0,1,0,19.0
on request,0.68,new town,5440.0,1250.0,Super Built up area 1250(116.13 sq.m.),3.0,2,1,3,North-East,Relatively New,East,1250.0,,,0,0,0,0,1,0,19.0
eco nest,0.58,new town,5686.0,1020.0,Super Built up area 1020(94.76 sq.m.),2.0,2,2,2,South,Relatively New,East,1020.0,,,0,0,0,0,0,0,41.0
"eco nest, new booking",0.58,new town,5680.0,1021.0,Super Built up area 1021(94.85 sq.m.),2.0,2,1,1,South,Relatively New,East,1021.0,,,0,0,0,0,0,0,64.0
"eco nest, new booking",0.53,new town,5760.0,920.0,Super Built up area 920(85.47 sq.m.),2.0,2,1,2,South-West,Relatively New,East,920.0,,,0,0,0,0,0,0,77.0
eco nest,0.49,new town,5861.0,836.0,Super Built up area 836(77.67 sq.m.),2.0,2,1,3,North-East,Relatively New,East,836.0,,,0,0,0,0,0,0,33.0
"eco nest, new booking",0.52,new town,5836.0,891.0,Super Built up area 891(82.78 sq.m.),2.0,2,1,3,North-West,Relatively New,East,891.0,,,0,0,0,0,0,0,25.0
sb enterprise,0.8,new town,5333.0,1500.0,Super Built up area 1500(139.35 sq.m.),3.0,3,1,4,North,Relatively New,East,1500.0,,,0,0,0,0,0,0,0.0
sb enterprise,0.55,new town,5092.0,1080.0,Super Built up area 1080(100.34 sq.m.),2.0,2,2,4,South-West,Relatively New,East,1080.0,,,0,0,0,0,0,0,20.0
sb enterprise,0.5,new town,4761.0,1050.0,Super Built up area 1050(97.55 sq.m.),2.0,2,2,4,North-West,Relatively New,East,1050.0,,,0,0,0,0,0,0,28.0
sb enterprise,0.5,new town,4761.0,1050.0,Super Built up area 1050(97.55 sq.m.),2.0,2,1,2,North,Relatively New,East,1050.0,,,0,0,0,0,0,0,28.0
sb enterprise,0.75,new town,5050.0,1485.0,Super Built up area 1485(137.96 sq.m.),3.0,2,1,4,East,Relatively New,East,1485.0,,,0,0,0,0,0,0,20.0
on request,0.75,new town,5043.0,1487.0,Super Built up area 1487(138.15 sq.m.),3.0,2,1,4,North-West,Relatively New,East,1487.0,,,0,0,0,0,0,0,28.0
"sb enterpise, new booking",0.75,new town,5043.0,1487.0,Super Built up area 1487(138.15 sq.m.),3.0,2,1,1,North-East,Relatively New,East,1487.0,,,0,0,0,0,0,0,28.0
sb enterprise,0.65,new town,5200.0,1250.0,Super Built up area 1250(116.13 sq.m.),3.0,2,1,4,West,Relatively New,East,1250.0,,,0,0,0,0,0,0,27.0
sb enterprise,0.65,new town,5200.0,1250.0,Super Built up area 1250(116.13 sq.m.),3.0,2,1,3,North-East,Relatively New,East,1250.0,,,0,0,0,0,0,0,28.0
sb enterprise,0.65,new town,5195.0,1251.0,Super Built up area 1251(116.22 sq.m.),3.0,2,1,1,North-East,Relatively New,East,1251.0,,,0,0,0,0,0,0,27.0
sb enterprise,0.65,new town,5200.0,1250.0,Super Built up area 1250(116.13 sq.m.),3.0,3,1,4,North,Relatively New,East,1250.0,,,0,0,0,0,0,0,21.0
sb enterprise,0.65,new town,5200.0,1250.0,Super Built up area 1250(116.13 sq.m.),3.0,3,1,2,North,Relatively New,East,1250.0,,,0,0,0,0,0,0,28.0
sb enterprise,0.65,new town,5200.0,1250.0,Super Built up area 1250(116.13 sq.m.),3.0,2,1,3,North,Relatively New,East,1250.0,,,0,0,0,0,0,0,28.0
sb enterprice,0.74,new town,5033.0,1470.0,Super Built up area 1480(137.5 sq.m.),3.0,2,1,2,South-East,Relatively New,East,1480.0,,,0,0,0,0,0,0,20.0
sb enterprice,0.75,new town,5067.0,1480.0,Super Built up area 1480(137.5 sq.m.),3.0,2,1,1,South-East,Relatively New,East,1480.0,,,0,0,0,0,0,0,25.0
"sb enterprice, action area 2",0.72,new town,4871.0,1478.0,Super Built up area 1478(137.31 sq.m.),3.0,2,2,4,South,Relatively New,East,1478.0,,,0,0,0,0,0,0,25.0
"sb enterprice, action area 2",0.72,new town,4864.0,1480.0,Super Built up area 1480(137.5 sq.m.),3.0,2,2,4,South-East,Relatively New,East,1480.0,,,0,0,0,0,0,0,28.0
adya fountain exotica,0.66,garia,6133.0,1076.0,Super Built up area 1076(99.96 sq.m.),2.0,2,1,1,West,Relatively New,South,1076.0,,,0,0,0,0,0,0,85.0
sashwaat mandeville garden court 3,2.1,ballygunge,10999.0,1909.0,Super Built up area 1972.11(183.22 sq.m.),3.0,3,1,9,North,Relatively New,South,1972.11,,,0,0,0,0,0,0,48.0
standalone apartment,1.47,southern avenue,10137.0,1450.0,Super Built up area 1450(134.71 sq.m.),3.0,2,1,4,West,Old Property,South,1450.0,,,0,0,0,0,0,0,54.0
dip apartment,0.75,nandan kanan,6355.0,1180.0,Super Built up area 1180(109.63 sq.m.),3.0,2,1,4,South-West,Relatively New,South,1180.0,,,0,0,0,0,1,0,13.0
magnolia grand,0.41,chotto chandpur,4880.0,840.0,Super Built up area 840(78.04 sq.m.),2.0,2,1,3,South,Relatively New,East,840.0,,,0,0,0,0,0,0,104.0
magnolia grand,0.47,chotto chandpur,3827.0,1228.0,Super Built up area 1228(114.08 sq.m.),3.0,2,2,2,South,Relatively New,East,1228.0,,,0,0,0,0,0,0,104.0
mahendra bhawan,0.31,rajarhat,3400.0,912.0,Super Built up area 899(83.52 sq.m.),2.0,2,1,4,South,Relatively New,East,899.0,,,0,0,0,0,0,0,96.0
sadhnaloy rajarhat appartment,0.23,rajarhat,2956.0,778.0,Super Built up area 778(72.28 sq.m.),2.0,2,1,2,South-East,Relatively New,East,778.0,,,0,0,0,0,0,0,46.0
mahendra bhawan,0.31,rajarhat,3494.0,887.0,Super Built up area 890(82.68 sq.m.),2.0,2,1,3,South,Relatively New,East,890.0,,,0,0,0,0,0,0,88.0
bina apartment,0.28,rajarhat,3300.0,848.0,Super Built up area 840(78.04 sq.m.),2.0,2,1,3,South-West,Relatively New,East,840.0,,,0,0,0,0,0,0,20.0
sadhanalay appartment rajarhat,0.31,rajarhat,3000.0,1033.0,Super Built up area 1041(96.71 sq.m.),2.0,2,1,4,South,Relatively New,east,1041.0,,,0,0,0,0,0,0,27.0
"sadhonalaya apartment, rajarhat",0.23,rajarhat,3000.0,767.0,Super Built up area 776(72.09 sq.m.),2.0,2,1,2,South,Relatively New,East,776.0,,,0,0,0,0,0,0,7.0
"heritage apartment, barrackpore",0.24,barrackpore,3000.0,800.0,Super Built up area 800(74.32 sq.m.),2.0,2,1,3,South,Relatively New,North,800.0,,,0,0,0,0,1,0,19.0
dip apartment,0.85,nandan kanan,6910.0,1230.0,Super Built up area 1230(114.27 sq.m.),3.0,2,1,1,South,Relatively New,South,1230.0,,,0,0,0,0,1,0,13.0
dip residency,0.49,new garia,4994.0,981.0,Super Built up area 981(91.14 sq.m.),3.0,2,1,1,South-East,Relatively New,South,981.0,,,0,0,0,0,1,0,7.0
dip residency,0.39,new garia,5058.0,771.0,Super Built up area 771(71.63 sq.m.),2.0,2,1,2,North,Relatively New,South,771.0,,,0,0,0,0,1,0,7.0
on request,0.62,nayabad,4568.0,1357.0,Super Built up area 1357(126.07 sq.m.),3.0,2,1,2,South,Relatively New,South,1357.0,,,0,0,0,0,1,0,7.0
on request,0.35,krishnapur,4500.0,778.0,Super Built up area 776(72.09 sq.m.),2.0,2,1,3,West,Relatively New,North,776.0,,,0,0,0,0,1,0,6.0
on request,0.37,krishnapur,4441.0,833.0,Super Built up area 842(78.22 sq.m.),2.0,2,1,2,West,Relatively New,North,842.0,,,0,0,0,0,1,0,7.0
on request,0.41,krishnapur,4500.0,911.0,Super Built up area 906(84.17 sq.m.),2.0,2,1,2,South-West,Relatively New,North,906.0,,,0,0,0,0,1,0,13.0
on request,0.35,krishnapur,4500.0,778.0,Super Built up area 786(73.02 sq.m.),2.0,2,1,1,East,Relatively New,North,786.0,,,0,0,0,0,1,0,7.0
pelican tulip & lotus,0.25,nayabad,3600.0,694.0,Super Built up area 685(63.64 sq.m.),2.0,2,1,1,North-East,Relatively New,South,685.0,,,0,0,0,0,0,0,38.0
pleasent palace,0.42,narendrapur,4125.0,1018.0,Super Built up area 1018(94.58 sq.m.),3.0,2,1,3,North-East,Relatively New,South,1018.0,,,0,0,0,0,0,0,110.0
rajwada royal gardens,0.71,narendrapur,7681.0,924.0,Super Built up area 1424(132.29 sq.m.)Carpet area: 926 sq.ft. (86.03 sq.m.),3.0,2,1,10,South-East,Relatively New,South,1424.0,,926.0,0,0,0,0,0,0,97.0
