place,bedRoom,bathroom,balcony,facing,agePossession,Direction,built_up_area,servant room,furnishing_type,luxury_category,floor_category,price
54.0,3.0,2.0,2.0,1.0,2.0,0.0,1250.0,0.0,1.0,1.0,2.0,0.9
121.0,3.0,2.0,1.0,4.0,3.0,1.0,1163.0,0.0,1.0,0.0,0.0,0.75
85.0,3.0,2.0,1.0,4.0,2.0,2.0,898.0,0.0,0.0,1.0,1.0,0.35
1.0,2.0,2.0,2.0,7.0,2.0,2.0,1270.0,0.0,0.0,2.0,1.0,1.5
47.0,3.0,2.0,2.0,4.0,3.0,1.0,1068.0,0.0,2.0,1.0,1.0,0.4
8.0,3.0,2.0,1.0,5.0,0.0,2.0,1414.0,0.0,1.0,0.0,2.0,2.5
131.0,3.0,2.0,1.0,5.0,2.0,1.0,1001.0,0.0,0.0,1.0,2.0,0.7
121.0,3.0,3.0,3.0,5.0,3.0,1.0,1125.0,0.0,1.0,2.0,2.0,0.58
90.0,2.0,2.0,1.0,2.0,1.0,0.0,924.0,0.0,0.0,2.0,2.0,0.71
32.0,3.0,3.0,3.0,5.0,1.0,1.0,1882.0,0.0,1.0,1.0,2.0,1.5
100.0,3.0,3.0,1.0,3.0,2.0,2.0,1600.0,0.0,0.0,2.0,2.0,1.2
8.0,4.0,4.0,2.0,7.0,1.0,2.0,2328.0,1.0,0.0,1.0,1.0,4.0
24.0,3.0,3.0,1.0,5.0,3.0,1.0,1000.0,0.0,2.0,0.0,0.0,0.9
36.0,3.0,2.0,1.0,3.0,0.0,2.0,1031.0,0.0,1.0,0.0,2.0,0.9
84.0,3.0,2.0,1.0,1.0,3.0,1.0,938.0,0.0,0.0,1.0,1.0,0.52
104.0,3.0,2.0,1.0,2.0,1.0,0.0,1159.0,0.0,0.0,1.0,0.0,0.85
129.0,3.0,2.0,1.0,2.0,2.0,2.0,1105.0,0.0,0.0,0.0,0.0,1.3
16.0,3.0,2.0,1.0,1.0,0.0,2.0,1148.0,0.0,2.0,0.0,0.0,0.81
88.0,2.0,2.0,1.0,1.0,3.0,2.0,684.0,0.0,0.0,1.0,2.0,0.41
55.0,3.0,2.0,1.0,1.0,0.0,1.0,924.0,0.0,0.0,2.0,2.0,0.62
63.0,3.0,3.0,3.0,4.0,3.0,1.0,1457.0,0.0,0.0,2.0,1.0,0.75
16.0,3.0,2.0,2.0,4.0,1.0,2.0,1030.0,0.0,0.0,1.0,2.0,0.68
11.0,3.0,2.0,1.0,0.0,0.0,1.0,941.0,0.0,2.0,0.0,1.0,0.34
32.0,2.0,2.0,1.0,2.0,1.0,1.0,625.0,0.0,0.0,1.0,2.0,0.26
8.0,2.0,2.0,1.0,2.0,3.0,2.0,770.0,0.0,0.0,1.0,1.0,0.58
16.0,4.0,2.0,2.0,6.0,2.0,2.0,1289.0,0.0,0.0,1.0,1.0,0.65
66.0,3.0,2.0,1.0,3.0,2.0,1.0,1155.0,0.0,2.0,1.0,2.0,0.65
122.0,2.0,2.0,2.0,1.0,0.0,2.0,928.0,0.0,0.0,1.0,2.0,0.38
54.0,2.0,2.0,1.0,0.0,2.0,1.0,722.0,0.0,2.0,1.0,1.0,0.4
85.0,2.0,2.0,1.0,0.0,1.0,2.0,791.0,0.0,0.0,1.0,1.0,0.32
16.0,1.0,1.0,1.0,0.0,3.0,2.0,748.0,0.0,0.0,1.0,2.0,0.31
66.0,2.0,2.0,1.0,0.0,0.0,1.0,731.0,0.0,0.0,1.0,2.0,0.33
32.0,3.0,2.0,1.0,0.0,2.0,1.0,925.0,0.0,0.0,2.0,2.0,0.44
129.0,4.0,3.0,3.0,6.0,3.0,2.0,2286.0,0.0,0.0,1.0,2.0,2.35
36.0,3.0,2.0,0.0,5.0,2.0,2.0,1150.0,0.0,0.0,1.0,1.0,0.38
32.0,3.0,2.0,1.0,2.0,3.0,1.0,1072.0,0.0,1.0,1.0,2.0,0.45
19.0,1.0,1.0,0.0,6.0,0.0,3.0,360.0,0.0,0.0,1.0,1.0,0.09
82.0,2.0,1.0,0.0,4.0,2.0,2.0,381.0,0.0,0.0,1.0,1.0,0.28
30.0,3.0,2.0,1.0,4.0,2.0,2.0,1270.0,0.0,1.0,1.0,1.0,0.85
16.0,3.0,2.0,1.0,5.0,0.0,2.0,1256.0,0.0,0.0,1.0,2.0,0.75
104.0,2.0,2.0,1.0,5.0,3.0,0.0,851.0,0.0,0.0,2.0,0.0,0.56
104.0,2.0,2.0,1.0,5.0,3.0,0.0,791.0,0.0,0.0,0.0,0.0,0.58
128.0,2.0,1.0,0.0,4.0,2.0,2.0,556.0,0.0,1.0,1.0,1.0,0.29
86.0,3.0,2.0,1.0,5.0,3.0,2.0,941.0,0.0,0.0,1.0,1.0,0.46
124.0,3.0,2.0,2.0,4.0,0.0,2.0,877.0,0.0,0.0,1.0,1.0,0.45
54.0,3.0,2.0,1.0,5.0,2.0,0.0,906.0,0.0,0.0,0.0,1.0,0.49
36.0,2.0,2.0,1.0,7.0,2.0,2.0,803.0,0.0,2.0,1.0,1.0,0.3
58.0,2.0,2.0,1.0,1.0,2.0,1.0,620.0,0.0,0.0,1.0,1.0,0.3
29.0,3.0,3.0,1.0,0.0,3.0,2.0,1408.0,0.0,0.0,1.0,1.0,1.9
104.0,2.0,2.0,1.0,3.0,3.0,0.0,720.0,0.0,0.0,1.0,2.0,0.29
104.0,3.0,2.0,1.0,0.0,3.0,0.0,984.0,0.0,0.0,1.0,1.0,0.36
28.0,2.0,2.0,1.0,7.0,3.0,0.0,698.0,0.0,0.0,1.0,1.0,0.24
28.0,3.0,2.0,2.0,7.0,3.0,0.0,962.0,0.0,0.0,1.0,1.0,0.34
5.0,2.0,2.0,1.0,0.0,3.0,1.0,560.0,0.0,0.0,1.0,1.0,0.18
5.0,2.0,2.0,1.0,4.0,3.0,1.0,635.0,0.0,0.0,1.0,1.0,0.2
5.0,2.0,2.0,1.0,6.0,3.0,1.0,614.0,0.0,0.0,1.0,2.0,0.19
5.0,3.0,2.0,1.0,2.0,3.0,1.0,967.0,0.0,0.0,1.0,1.0,0.3
5.0,2.0,2.0,1.0,6.0,3.0,1.0,702.0,0.0,0.0,1.0,2.0,0.21
5.0,2.0,2.0,1.0,7.0,3.0,1.0,742.0,0.0,0.0,1.0,1.0,0.23
110.0,4.0,4.0,1.0,4.0,0.0,2.0,2801.0,1.0,0.0,2.0,2.0,6.88
1.0,4.0,4.0,1.0,4.0,0.0,2.0,2968.0,0.0,0.0,2.0,1.0,3.5
1.0,4.0,4.0,1.0,4.0,0.0,2.0,2139.0,0.0,0.0,2.0,2.0,2.9
129.0,3.0,2.0,1.0,4.0,3.0,2.0,1142.0,0.0,0.0,2.0,2.0,1.5
36.0,2.0,2.0,1.0,5.0,1.0,2.0,805.0,0.0,0.0,0.0,0.0,0.45
34.0,2.0,2.0,1.0,5.0,3.0,2.0,835.0,0.0,0.0,0.0,0.0,0.45
36.0,2.0,2.0,1.0,5.0,1.0,2.0,831.0,0.0,0.0,0.0,2.0,0.45
34.0,2.0,2.0,1.0,5.0,1.0,2.0,835.0,0.0,0.0,0.0,2.0,0.46
34.0,3.0,2.0,1.0,4.0,1.0,2.0,1108.0,0.0,0.0,0.0,0.0,0.68
34.0,3.0,2.0,1.0,5.0,3.0,2.0,1099.0,0.0,0.0,0.0,2.0,0.75
123.0,4.0,4.0,1.0,4.0,3.0,2.0,2049.0,0.0,0.0,2.0,2.0,3.95
1.0,5.0,5.0,2.0,4.0,3.0,2.0,2994.0,0.0,0.0,2.0,2.0,3.68
