society,price,place,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
"eco nest, new booking",0.58,new town,5680.0,2.0,2.0,1,1.0,South,Relatively New,East,873.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
"eco nest, new booking",0.53,new town,5760.0,2.0,2.0,1,2.0,South-West,Relatively New,East,787.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
eco nest,0.49,new town,5861.0,2.0,2.0,1,3.0,North-East,Relatively New,East,715.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
"eco nest, new booking",0.52,new town,5836.0,2.0,2.0,1,3.0,North-West,Relatively New,East,762.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
sb enterprise,0.8,new town,5333.0,3.0,3.0,1,4.0,North,Relatively New,East,1283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sb enterprise,0.55,new town,5092.0,2.0,2.0,2,4.0,South-West,Relatively New,East,924.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
sb enterprise,0.5,new town,4761.0,2.0,2.0,2,4.0,North-West,Relatively New,East,898.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
sb enterprise,0.5,new town,4761.0,2.0,2.0,1,2.0,North,Relatively New,East,898.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
sb enterprise,0.75,new town,5050.0,3.0,2.0,1,4.0,East,Relatively New,East,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
on request,0.75,new town,5043.0,3.0,2.0,1,4.0,North-West,Relatively New,East,1272.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
"sb enterpise, new booking",0.75,new town,5043.0,3.0,2.0,1,1.0,North-East,Relatively New,East,1272.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
sb enterprise,0.65,new town,5200.0,3.0,2.0,1,4.0,West,Relatively New,East,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
sb enterprise,0.65,new town,5200.0,3.0,2.0,1,3.0,North-East,Relatively New,East,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
sb enterprise,0.65,new town,5195.0,3.0,2.0,1,1.0,North-East,Relatively New,East,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
sb enterprise,0.65,new town,5200.0,3.0,3.0,1,4.0,North,Relatively New,East,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
sb enterprise,0.65,new town,5200.0,3.0,3.0,1,2.0,North,Relatively New,East,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
sb enterprise,0.65,new town,5200.0,3.0,2.0,1,3.0,North,Relatively New,East,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
sb enterprice,0.74,new town,5033.0,3.0,2.0,1,2.0,South-East,Relatively New,East,1266.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
sb enterprice,0.75,new town,5067.0,3.0,2.0,1,1.0,South-East,Relatively New,East,1266.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
"sb enterprice, action area 2",0.72,new town,4871.0,3.0,2.0,2,4.0,South,Relatively New,East,1264.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
"sb enterprice, action area 2",0.72,new town,4864.0,3.0,2.0,2,4.0,South-East,Relatively New,East,1266.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
adya fountain exotica,0.66,garia,6133.0,2.0,2.0,1,1.0,West,Relatively New,South,920.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
sashwaat mandeville garden court 3,2.1,ballygunge,10999.0,3.0,3.0,1,9.0,North,Relatively New,South,1687.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
standalone apartment,1.47,southern avenue,10137.0,3.0,2.0,1,4.0,West,Old Property,South,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
dip apartment,0.75,nandan kanan,6355.0,3.0,2.0,1,4.0,South-West,Relatively New,South,1009.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
magnolia grand,0.41,chotto chandpur,4880.0,2.0,2.0,1,3.0,South,Relatively New,East,719.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
magnolia grand,0.47,chotto chandpur,3827.0,3.0,2.0,2,2.0,South,Relatively New,East,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
mahendra bhawan,0.31,rajarhat,3400.0,2.0,2.0,1,4.0,South,Relatively New,East,769.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
sadhnaloy rajarhat appartment,0.23,rajarhat,2956.0,2.0,2.0,1,2.0,South-East,Relatively New,East,666.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
mahendra bhawan,0.31,rajarhat,3494.0,2.0,2.0,1,3.0,South,Relatively New,East,761.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
bina apartment,0.28,rajarhat,3300.0,2.0,2.0,1,3.0,South-West,Relatively New,East,719.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
sadhanalay appartment rajarhat,0.31,rajarhat,3000.0,2.0,2.0,1,4.0,South,Relatively New,east,891.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
"sadhonalaya apartment, rajarhat",0.23,rajarhat,3000.0,2.0,2.0,1,2.0,South,Relatively New,East,664.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"heritage apartment, barrackpore",0.24,barrackpore,3000.0,2.0,2.0,1,3.0,South,Relatively New,North,684.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
dip apartment,0.85,nandan kanan,6910.0,3.0,2.0,1,1.0,South,Relatively New,South,1052.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
dip residency,0.49,new garia,4994.0,3.0,2.0,1,1.0,South-East,Relatively New,South,839.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
dip residency,0.39,new garia,5058.0,2.0,2.0,1,2.0,North,Relatively New,South,660.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
on request,0.62,nayabad,4568.0,3.0,2.0,1,2.0,South,Relatively New,South,1161.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
on request,0.35,krishnapur,4500.0,2.0,2.0,1,3.0,West,Relatively New,North,664.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
on request,0.37,krishnapur,4441.0,2.0,2.0,1,2.0,West,Relatively New,North,720.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
on request,0.41,krishnapur,4500.0,2.0,2.0,1,2.0,South-West,Relatively New,North,775.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
on request,0.35,krishnapur,4500.0,2.0,2.0,1,1.0,East,Relatively New,North,672.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
pelican tulip & lotus,0.25,nayabad,3600.0,2.0,2.0,1,1.0,North-East,Relatively New,South,586.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
pleasent palace,0.42,narendrapur,4125.0,3.0,2.0,1,3.0,North-East,Relatively New,South,871.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
rajwada royal gardens,0.71,narendrapur,7681.0,3.0,2.0,1,10.0,South-East,Relatively New,South,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
rajwada royal gardens,0.69,narendrapur,7679.0,3.0,2.0,1,10.0,South-East,Relatively New,South,1097.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
windsor heights,1.05,em bypass,6306.0,3.0,2.0,2,7.0,South-East,Relatively New,South,1424.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0
windsor heights,0.9,em bypass,6016.0,3.0,2.0,1,11.0,South-East,Relatively New,South,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
windsor heights,1.0,em bypass,6006.0,3.0,2.0,2,7.0,North-East,Relatively New,South,1424.0,0.0,0.0,0.0,1.0,0.0,0.0,92.0
ganapati apartment.dumdum cantonment.,0.24,dum dum,3500.0,2.0,2.0,1,2.0,South-East,Relatively New,North,599.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0
"santosh enclave,sodepure",0.26,sodepur,3000.0,2.0,2.0,1,0.0,South,Relatively New,North,744.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
"santosh enclave,sodepure",0.32,sodepur,3000.0,3.0,2.0,1,1.0,West,Relatively New,North,898.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0
"santosh enclave, sodepure",0.32,sodepur,3000.0,3.0,2.0,1,4.0,North-East,Relatively New,North,900.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0
on request,0.17,khardah,2500.0,2.0,2.0,1,3.0,East,Relatively New,North,566.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.17,khardah,2500.0,2.0,2.0,1,2.0,West,Relatively New,North,565.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
parul apartment,0.15,khardah,2500.0,1.0,1.0,1,1.0,South,Relatively New,North,525.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
on request,0.15,khardah,2500.0,2.0,2.0,1,1.0,South-East,Relatively New,North,530.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
"ganapati apartment, new booking",0.28,dum dum,3500.0,2.0,2.0,1,2.0,South,Relatively New,North,684.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
ganapati apartment.dumdum cantonment.dumdum,0.23,dum dum,3500.0,2.0,2.0,1,0.0,South-East,Relatively New,North,556.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0
"siddhi data villa, new booking",0.27,dum dum,3800.0,2.0,2.0,1,0.0,South-East,Relatively New,North,615.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0
siddhi data tower. cantonment,0.27,dum dum,3300.0,2.0,2.0,1,4.0,South-East,Relatively New,North,706.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0
"siddhi data villa, new booking",0.2,dum dum,3300.0,2.0,1.0,0,4.0,South-West,Relatively New,North,513.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
"siddhi data villa, new booking",0.35,dum dum,3300.0,2.0,2.0,1,4.0,North-West,Relatively New,North,896.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0
siddhi data tower.dumdum cantonment,0.35,dum dum,3300.0,2.0,2.0,1,1.0,North-West,Relatively New,North,896.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0
"siddhi data villa, new booking",0.27,dum dum,3300.0,2.0,2.0,1,4.0,North,Relatively New,North,706.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0
shivam apartment barrackpore,0.47,barrackpore,2903.0,3.0,2.0,1,3.0,South-West,Relatively New,North,1399.0,0.0,0.0,1.0,1.0,0.0,0.0,65.0
siddha happyville,0.68,rajarhat,6296.0,2.0,2.0,1,6.0,South-East,Relatively New,East,924.0,1.0,0.0,0.0,0.0,0.0,0.0,104.0
shelter appartment,0.25,barrackpore,2777.0,2.0,2.0,2,4.0,South-East,Old Property,North,770.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0
paradise home,0.28,behala,4179.0,2.0,2.0,1,0.0,South,Relatively New,South,573.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
paradise home,0.43,behala,4396.0,2.0,2.0,1,1.0,South-East,Relatively New,South,837.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
paradise home,0.34,behala,3820.0,2.0,2.0,1,3.0,South,Relatively New,South,761.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
paradise home,0.27,behala,3802.0,2.0,2.0,1,1.0,East,Relatively New,South,607.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
paradise home,0.34,behala,3863.0,2.0,2.0,1,1.0,South,Relatively New,South,753.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
paradise home,0.42,behala,4307.0,3.0,2.0,1,2.0,South-East,Relatively New,South,834.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
paradise home,0.26,behala,3513.0,2.0,2.0,1,1.0,South,Moderately Old,South,633.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
paradise home,0.32,behala,4315.0,2.0,2.0,1,1.0,South,Relatively New,South,624.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
paradise home,0.36,behala,4363.0,2.0,2.0,1,3.0,South,Relatively New,South,706.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
paradise home,0.33,behala,4285.0,2.0,2.0,1,3.0,South,Relatively New,South,659.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
paradise home,0.57,behala,4384.0,3.0,3.0,1,1.0,North,Relatively New,South,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
on request,0.45,em bypass,5235.0,2.0,2.0,1,2.0,South,Relatively New,South,727.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
on request,0.66,purbachal,4551.0,3.0,2.0,1,2.0,North-West,Moderately Old,North,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
on request,1.2,em bypass,6486.0,3.0,2.0,1,4.0,North-East,Moderately Old,South,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
on request,0.85,em bypass,6746.0,3.0,2.0,1,1.0,South-West,Moderately Old,North,1078.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
on request,0.75,anandapur,4901.0,3.0,2.0,1,1.0,South,Moderately Old,South,1309.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
realtech nirman 16 aana,0.25,rajarhat,3703.0,2.0,2.0,1,4.0,North-West,Relatively New,East,581.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0
realtech nirman 16 aana,0.27,rajarhat,3580.0,2.0,2.0,1,2.0,East,Relatively New,East,645.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0
realtech nirman 16 aana,0.54,rajarhat,3707.0,3.0,2.0,2,2.0,East,Relatively New,East,1251.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0
on request,1.05,haltu,7000.0,3.0,2.0,1,4.0,South-East,Relatively New,South,1283.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
paradise home,0.26,behala,3473.0,2.0,1.0,1,0.0,North,Relatively New,South,642.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
paradise home,0.26,behala,3480.0,2.0,1.0,1,0.0,South,Relatively New,South,716.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
paradise home,0.17,behala,3888.0,1.0,1.0,1,1.0,South-West,Relatively New,South,385.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
paradise home,0.29,behala,3333.0,2.0,2.0,1,0.0,North-West,Relatively New,South,744.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
mahendra bhawan,0.29,rajarhat,3524.0,2.0,2.0,1,1.0,West,Relatively New,East,701.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
mahendra bhawan,0.32,rajarhat,3595.0,2.0,2.0,1,3.0,South-East,Relatively New,East,761.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
paradise home,0.57,behala,4935.0,3.0,2.0,1,3.0,North,Relatively New,South,988.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
paradise home,0.36,behala,4285.0,2.0,2.0,1,1.0,North-East,Relatively New,South,719.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
paradise home,0.45,behala,4500.0,3.0,2.0,1,1.0,South-West,Relatively New,South,964.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0
"on request,new booking",0.26,rajarhat,3058.0,2.0,2.0,1,4.0,North,Relatively New,East,727.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
om apartment,0.68,behala,5037.0,3.0,2.0,1,2.0,North,Relatively New,South,1155.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
bina apartment,0.6,rajarhat,3529.0,3.0,2.0,1,3.0,South-East,Relatively New,East,1454.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
bina niketan 2,0.28,rajarhat,3257.0,2.0,2.0,1,3.0,South-West,Relatively New,East,749.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
bina niketan 2,0.37,rajarhat,3252.0,3.0,2.0,1,2.0,East,Relatively New,East,984.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
bina niketan 2,0.3,rajarhat,3260.0,2.0,2.0,1,2.0,South,Relatively New,East,787.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
bina niketan 2,0.25,rajarhat,3285.0,2.0,2.0,1,2.0,South-West,Relatively New,East,659.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
sadhanalay apartment,0.3,rajarhat,2899.0,2.0,2.0,1,4.0,South,Relatively New,East,894.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
silver green,0.26,rajarhat,2914.0,2.0,2.0,0,1.0,North,Relatively New,East,749.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0
bina niketan 2,0.27,rajarhat,3100.0,2.0,2.0,1,3.0,South-West,Relatively New,East,749.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0
bina niketan 2,0.36,rajarhat,3100.0,3.0,2.0,1,1.0,North-East,Relatively New,East,984.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0
mahendra bhawan,0.28,rajarhat,3400.0,2.0,2.0,1,2.0,North-East,Relatively New,East,712.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0
mahendra bhawan,0.28,rajarhat,3402.0,2.0,2.0,1,3.0,North-West,Relatively New,East,701.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0
on request,0.5,anandpur,4237.0,3.0,2.0,1,3.0,East,Moderately Old,South,1009.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0
mahendra bhawan,0.29,rajarhat,3400.0,2.0,2.0,1,4.0,North-West,Relatively New,East,719.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0
on request,0.55,anandapur,4782.0,3.0,2.0,2,1.0,South-West,Moderately Old,South,984.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0
on request,0.55,pr,4782.0,3.0,2.0,1,2.0,South,Relatively New,South,984.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
sashwati niwas,0.58,madurdaha,4662.0,3.0,2.0,2,1.0,South-West,Relatively New,South,1064.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0
on request,0.69,kalikapur,5500.0,3.0,2.0,1,1.0,South,Relatively New,South,1078.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
standalone building,0.8,kalikapur,6250.0,3.0,2.0,1,2.0,South,Relatively New,South,1095.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
on request,0.75,em bypass,5725.0,3.0,2.0,2,1.0,South-West,Relatively New,South,1121.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
on request,0.51,pr,6000.0,2.0,2.0,1,1.0,South-West,Relatively New,South,727.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
on request,0.6,nandan kanan,5357.0,3.0,2.0,1,2.0,South-East,Relatively New,South,958.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
on request,0.18,anandapur,3956.0,1.0,1.0,1,0.0,East,Relatively New,South,389.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
on request,0.85,santoshpur,6513.0,3.0,2.0,1,3.0,North-West,Relatively New,South,1116.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
on request,0.45,anandapur,5000.0,2.0,2.0,1,1.0,South-East,Relatively New,South,770.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
on request,0.98,em bypass,5764.0,3.0,2.0,1,4.0,South,Relatively New,South,1454.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
on request,1.45,anandapur,5178.0,4.0,3.0,1,4.0,East,Relatively New,South,2395.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
sharda homes,0.44,em bypass,5000.0,2.0,2.0,1,2.0,East,Relatively New,South,748.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
sharda homes,0.49,em bypass,5572.0,2.0,2.0,1,2.0,East,Relatively New,South,748.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0
sharda homes,0.87,em bypass,5000.0,3.0,3.0,1,1.0,South-East,Relatively New,South,1488.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
sd tower,0.3,dum dum,3800.0,2.0,1.0,1,0.0,South-West,Relatively New,North,684.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
siddhidata apartment.nagerbazar.dumdum,0.19,dum dum,3800.0,1.0,1.0,0,5.0,North,Relatively New,North,420.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0
sd tower,0.21,dum dum,3800.0,1.0,1.0,1,5.0,West,Relatively New,North,474.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0
s d apartment,0.16,dum dum,3800.0,1.0,1.0,0,3.0,South-East,Relatively New,North,360.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0
siddhi data tower,0.27,dum dum,3799.0,2.0,2.0,1,0.0,South-East,Relatively New,North,615.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
on request,0.58,krishnapur,4700.0,3.0,2.0,1,4.0,South-East,Relatively New,North,1056.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
bina niketan 2,0.39,rajarhat,3391.0,3.0,2.0,1,2.0,North-East,Relatively New,East,984.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
bina niketan 2,0.29,rajarhat,3314.0,2.0,2.0,1,2.0,North,Relatively New,East,749.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
arihant garden,0.4,rajarhat,3942.0,2.0,2.0,1,1.0,North-East,Relatively New,East,857.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
magnolia oxygen,0.45,rajarhat,4536.0,2.0,2.0,1,6.0,South-West,Relatively New,East,849.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
magnolia oxygen,0.65,rajarhat,5204.0,3.0,2.0,1,3.0,South-East,Relatively New,East,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
kalibari housing,0.4,rajarhat,4287.0,2.0,2.0,1,1.0,North-West,Relatively New,East,807.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
siddha happyville,0.88,rajarhat,6956.0,3.0,3.0,1,16.0,North,Relatively New,East,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
siddha happyville,0.64,rajarhat,6564.0,2.0,2.0,1,5.0,South-West,Relatively New,East,834.0,0.0,0.0,0.0,0.0,0.0,2.0,112.0
realtech nirman bela,0.28,rajarhat,4612.0,2.0,2.0,1,4.0,North,Relatively New,East,527.0,0.0,0.0,0.0,0.0,1.0,2.0,34.0
realtech nirman bela,0.3,rajarhat,3947.0,2.0,2.0,1,2.0,North-West,Relatively New,East,650.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0
siddha happyville,0.89,rajarhat,7035.0,3.0,2.0,1,3.0,North-West,Relatively New,East,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
abani apartment barrackpore,0.51,barrackpore,3700.0,3.0,2.0,1,2.0,South-East,Relatively New,North,1168.0,1.0,0.0,0.0,1.0,1.0,0.0,39.0
paradise home,0.34,behala,4311.0,2.0,2.0,1,2.0,East,Relatively New,South,737.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0
paradise  home,0.34,behala,3777.0,2.0,2.0,1,1.0,South,Relatively New,South,846.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0
paradise  home,0.33,behala,3892.0,2.0,2.0,1,2.0,North,Relatively New,South,714.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
on request,0.28,tollygunge,3599.0,2.0,2.0,1,0.0,South-East,Relatively New,South,654.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
on request,0.28,tollygunge,3664.0,2.0,2.0,1,1.0,West,Relatively New,South,654.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
arch starwood,1.21,ch,8649.0,3.0,2.0,1,1.0,North-West,Relatively New,East,1197.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
arihant villa,0.27,rajarhat,3417.0,2.0,2.0,1,4.0,East,Relatively New,East,676.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
labanya apartment,0.37,rajarhat,3372.0,3.0,2.0,1,4.0,North,Relatively New,East,938.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
new apartment,0.22,baguiati,2800.0,2.0,2.0,1,1.0,North-East,Relatively New,North,678.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
on request,0.2,baguiati,2800.0,2.0,2.0,1,3.0,South-East,Relatively New,North,614.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
new apartment,0.32,baguiati baguiati,2800.0,3.0,2.0,1,2.0,North-West,Relatively New,North,967.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
jagannath apartment,0.31,behala,3595.0,2.0,2.0,1,3.0,South-West,Relatively New,South,733.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0
uttara tritiya,1.65,new town,6346.0,3.0,4.0,3+,7.0,South,Moderately Old,East,2224.0,0.0,1.0,0.0,1.0,0.0,0.0,110.0
surjodoy apartment,0.35,silpara,3349.0,3.0,2.0,1,3.0,South-West,Relatively New,South,898.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0
mani casa,1.45,new town,10000.0,3.0,2.0,1,8.0,South-West,Moderately Old,East,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0
dlf new town heights,0.72,new town,5727.0,2.0,2.0,1,2.0,East,Relatively New,East,942.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0
anik one rajarhat,1.4,new town,18918.0,2.0,2.0,2,12.0,North-West,Relatively New,East,908.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0
siddha town,0.58,rajarhat,4187.0,3.0,2.0,1,2.0,East,Moderately Old,East,1185.0,0.0,0.0,0.0,1.0,0.0,0.0,124.0
ambika icon,0.75,tollygunge,8152.0,2.0,2.0,1,4.0,South-East,Relatively New,South,787.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
tirupati paradise,0.4,narendrapur,3824.0,2.0,2.0,1,1.0,North-East,Relatively New,South,895.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0
charuchhaya,0.22,narendrapur,3384.0,2.0,2.0,1,1.0,North-East,Relatively New,South,556.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
mission niketan,0.39,sonarpur,3846.0,3.0,2.0,1,3.0,South-West,Relatively New,South,856.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
tirupati paradise,0.46,narendrapur,3852.0,3.0,2.0,1,3.0,South-East,Relatively New,South,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
smriti subha,0.32,naktala,4266.0,2.0,2.0,1,3.0,South-West,Moderately Old,South,642.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
raj rajeshwari apartment,0.35,kamalgazi,4500.0,2.0,2.0,1,4.0,North-East,Relatively New,South,663.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
siddha happyville,0.85,rajarhat,6719.0,3.0,3.0,1,2.0,West,Relatively New,East,948.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0
rameswara waterview,0.38,chotto chandpur,4198.0,2.0,2.0,1,2.0,East,Moderately Old,East,679.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
elita garden vista,1.0,new town,7407.0,2.0,2.0,1,23.0,South-East,Moderately Old,East,1107.0,0.0,0.0,0.0,1.0,0.0,2.0,90.0
amarana residences,0.87,tangra,9344.0,2.0,2.0,1,2.0,South-East,New Property,East,796.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0
on request,0.44,narendrapur,5238.0,2.0,2.0,1,2.0,North-East,Relatively New,South,727.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0
on request,3.95,ballygunge,15116.0,3.0,3.0,3,5.0,South,Old Property,South,2235.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0
