society,price,place,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
sunity apartment,0.28,garia,3200.0,2.0,2.0,1,2.0,East,Moderately Old,South,855.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
upasana,0.42,sahapur,4421.0,2.0,2.0,0,0.0,East,Old Property,South,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ps panache,1.75,salt lake,12315.0,3.0,2.0,1,19.0,East,Relatively New,North,1173.0,0.0,0.0,1.0,0.0,0.0,2.0,141.0
maa shitala apartment,0.43,baguiati,3925.0,3.0,2.0,1,1.0,North,Moderately Old,North,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ridhi sidhi apartment rishra,0.22,hooghly,2712.0,2.0,2.0,0,4.0,South,Old Property,West,874.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0
green valley,0.35,kaikhali,4622.0,2.0,2.0,1,3.0,South-West,Old Property,North,657.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
bengal shelter sisirkunja,0.46,madhyamgram,4401.0,3.0,2.0,2,6.0,North,Relatively New,North,894.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0
kendriya vihar phase ii,0.85,dunlop,7083.0,3.0,4.0,3+,3.0,East,Moderately Old,North,1412.0,1.0,0.0,0.0,0.0,0.0,0.0,88.0
chitrakut dham,0.68,krishnapur,5155.0,3.0,2.0,2,4.0,South,Moderately Old,North,1128.0,0.0,0.0,0.0,0.0,0.0,2.0,138.0
bcn shyam vihar phase 2,0.7,raghunathpur,5204.0,3.0,2.0,2,5.0,East,Old Property,North,1151.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
srijan eternis,0.55,madhyamgram,9734.0,2.0,2.0,1,9.0,East,New Property,North,671.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
aprajita housing society,0.45,kal,3627.0,3.0,2.0,2,3.0,South-East,Old Property,North,941.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
swastik apartment 2,0.21,bansdroni,3500.0,2.0,2.0,1,1.0,South-East,New Property,South,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
konark apartment,0.51,panchasayar,4703.0,3.0,2.0,1,2.0,North,Moderately Old,South,943.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
vasundhara apartment tegharia,0.65,kaikhali,6989.0,2.0,2.0,2,5.0,South,Moderately Old,North,1043.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0
royal marina apartment,0.25,makhla,2928.0,2.0,2.0,1,2.0,South-East,Relatively New,West,731.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0
bangur avenue,0.38,lake town,5490.0,2.0,2.0,1,2.0,South-West,Relatively New,North,654.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0
sai baba apartment,0.55,diamond park,5500.0,3.0,2.0,0,1.0,South-East,Moderately Old,South,1176.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0
sugam serenity,0.5,sonarpur,3872.0,3.0,2.0,1,1.0,South-East,Relatively New,South,1104.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
sanhita township,0.3,new town,3275.0,3.0,2.0,1,6.0,South,New Property,East,784.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0
greenfield city,0.55,behala,5128.0,3.0,2.0,1,7.0,East,Relatively New,South,934.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
green valley,0.9,kaikhali,6206.0,3.0,2.0,2,4.0,North,Old Property,East,1250.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0
godrej prakriti,0.75,sodepur,5518.0,3.0,2.0,1,8.0,South,Relatively New,North,1163.0,0.0,0.0,0.0,0.0,0.0,1.0,166.0
nilachal complex,0.35,narendrapur,3428.0,3.0,2.0,1,1.0,South,Old Property,South,898.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
prasad residency,1.5,alipore,12605.0,2.0,2.0,2,2.0,West,Old Property,South,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
green valley phase 2,0.4,ichapore,4000.0,3.0,2.0,2,1.0,South,Relatively New,North,1068.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0
