society,price,place,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
gm meena ganga,0.63,krishnapur,5250.0,Carpet area: 1208 (112.23 sq.m.),3.0,2,1,5,South-East,Moderately Old,East,,,1208.0,0,0,0,0,0,0,77.0
sananda apartment,0.26,ch,3363.0,Super Built up area 892(82.87 sq.m.)Built Up area: 716 sq.ft. (66.52 sq.m.)Carpet area: 680 sq.ft. (63.17 sq.m.),3.0,2,1,4,,Relatively New,West,892.0,716.0,680.0,0,0,0,0,0,2,7.0
ps one 10,2.05,new town,16413.0,Built Up area: 1758 (163.32 sq.m.)Carpet area: 1249 sq.ft. (116.04 sq.m.),4.0,4,3,12,,New Property,East,,1758.0,1249.0,0,1,0,0,0,0,132.0
green park,0.35,kamalgazi,3043.0,Carpet area: 1150 (106.84 sq.m.),3.0,2,1,3,North-East,Moderately Old,South,,,1150.0,0,0,0,0,0,1,0.0
sucasa twins,0.41,sonarpur,3489.0,Super Built up area 1175(109.16 sq.m.),3.0,2,1,5,,Relatively New,South,1175.0,,,0,0,0,0,0,0,0.0
pramila niwas apartment,0.28,kumrakhali,3608.0,Super Built up area 776(72.09 sq.m.),2.0,2,1,3,South-East,Moderately Old,South,776.0,,,0,0,0,0,0,0,12.0
perfect sharanya enclave,0.6,rajarhat,4777.0,Super Built up area 1256(116.69 sq.m.),3.0,2,1,3,South-West,Relatively New,East,1256.0,,,0,0,0,0,0,0,0.0
apartment,1.75,em bypass,10472.0,Super Built up area 1671(155.24 sq.m.),3.0,2,1,8,,Relatively New,South,1671.0,,,0,0,0,0,0,1,0.0
upohar the condoville,0.53,garia,6220.0,Built Up area: 836 (77.67 sq.m.),2.0,2,1,14,South,Old Property,South,,836.0,,0,0,0,0,0,2,0.0
salarpuria pearl,0.75,bablatala,4780.0,Super Built up area 1569(145.76 sq.m.),3.0,2,2,4,,Moderately Old,East,1569.0,,,0,1,0,0,0,0,105.0
on request,0.6,baguiati,6086.0,Super Built up area 1150(106.84 sq.m.),2.0,2,2,4,,Moderately Old,North,1150.0,,,0,0,0,0,0,0,0.0
merlin maximus,0.6,sodepur,7142.0,Super Built up area 840(78.04 sq.m.)Built Up area: 633 sq.ft. (58.81 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),2.0,2,1,1,South-West,Relatively New,North,840.0,633.0,450.0,0,0,0,0,0,2,54.0
dtc southern heights,0.69,joka,5036.0,Super Built up area 1370(127.28 sq.m.)Built Up area: 1096 sq.ft. (101.82 sq.m.),3.0,3,2,2,South,New Property,South,1370.0,1096.0,,0,0,0,0,0,0,97.0
samkunj apartment,0.45,krishnapur,4563.0,Carpet area: 986 (91.6 sq.m.),2.0,2,1,1,South-West,Old Property,North,,,986.0,0,0,0,0,0,2,20.0
eden city maheshtala,0.45,maheshtala,3268.0,Super Built up area 1377(127.93 sq.m.),3.0,2,1,7,,Moderately Old,South,1377.0,,,0,0,0,0,0,0,100.0
tara maa apartment,0.45,bansdroni,3750.0,Super Built up area 1200(111.48 sq.m.),3.0,2,0,3,,Moderately Old,South,1200.0,,,0,0,0,0,0,0,0.0
merlin woodlands high,4.65,alipore,11923.0,Built Up area: 3900 (362.32 sq.m.),5.0,6,0,2,North,Old Property,South,,3900.0,,0,0,1,1,0,2,67.0
hiland park,1.22,em bypass,9186.0,Super Built up area 1328(123.38 sq.m.),3.0,2,1,21,,Old Property,South,1328.0,,,0,0,0,0,0,0,80.0
diganta,0.75,em bypass,4915.0,Super Built up area 1424(132.29 sq.m.)Built Up area: 1276 sq.ft. (118.54 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),3.0,2,1,2,South-East,Moderately Old,South,1424.0,1276.0,1150.0,0,0,0,0,1,0,45.0
laxmi apartment,0.3,barasat,3241.0,Super Built up area 1018(94.58 sq.m.),3.0,2,1,4,,Moderately Old,North,1018.0,,,0,0,0,0,0,0,0.0
paharpur genexx valley,0.5,thakurpukur,4045.0,Super Built up area 1236(114.83 sq.m.),3.0,2,2,2,South,Moderately Old,South,1236.0,,,1,0,0,0,0,2,173.0
bengal shelter sisirkunja,0.45,madhyamgram,3827.0,Super Built up area 1045(97.08 sq.m.),3.0,2,2,7,East,Moderately Old,North,1045.0,,,0,0,0,0,1,0,80.0
kalikapur,0.38,kalikapur,4375.0,Super Built up area 800(74.32 sq.m.),1.0,2,1,2,South-East,Moderately Old,South,800.0,,,0,0,0,0,0,0,6.0
fortune township,0.43,barasat,4300.0,Super Built up area 1221(113.43 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3.0,2,2,2,,Relatively New,North,1221.0,1100.0,1000.0,0,0,0,0,1,0,42.0
eden city maheshtala,0.4,maheshtala,4045.0,Super Built up area 1236(114.83 sq.m.),3.0,2,1,8,,Moderately Old,South,1236.0,,,0,0,0,0,0,2,0.0
eden city,0.45,maheshtala,2919.0,Carpet area: 1524 (141.58 sq.m.),3.0,3,1,11,South,Relatively New,South,,,1524.0,0,0,0,0,0,0,63.0
ps jiva,1.92,ch,17204.0,Carpet area: 1116 (103.68 sq.m.),3.0,3,3+,11,South-East,New Property,East,,,1116.0,0,0,0,0,0,0,54.0
multiple rai bahadur bhaban,0.28,behala,3236.0,Super Built up area 865(80.36 sq.m.),2.0,2,1,3,,Moderately Old,South,865.0,,,0,0,0,0,0,0,0.0
prudent habitat,0.85,seal lane,7777.0,Super Built up area 990(91.97 sq.m.),2.0,2,1,1,South-East,Relatively New,East,990.0,,,0,0,0,0,0,1,93.0
north view apartment,0.36,behala,6636.0,Super Built up area 810(75.25 sq.m.)Built Up area: 650 sq.ft. (60.39 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2.0,2,1,1,North-East,New Property,South,810.0,650.0,550.0,0,0,0,0,0,0,6.0
symphony towers,0.85,behala,5902.0,Carpet area: 1440 (133.78 sq.m.),3.0,2,1,9,North-West,Relatively New,South,,,1440.0,0,0,0,0,0,2,43.0
elita garden vista,1.25,new town,7872.0,Built Up area: 1588 (147.53 sq.m.),3.0,3,0,25,,New Property,East,,1588.0,,0,0,0,0,0,0,0.0
swarnabhoomi,0.79,santragachi,3115.0,Super Built up area 2520(234.12 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),5.0,4,2,2,,New Property,West,2520.0,,1800.0,0,0,0,0,0,0,22.0
"lavanya, russa road east first lane",0.65,charu market,6500.0,Built Up area: 1000 (92.9 sq.m.),3.0,2,1,2,South,Old Property,South,,1000.0,,0,0,0,0,0,0,13.0
hb block,1.0,salt lake,5714.0,Carpet area: 1750 (162.58 sq.m.),4.0,3,3,1,South-East,Old Property,North,,,1750.0,0,0,0,0,0,2,12.0
shantiniketan apartment,0.24,baguiati,4088.0,Carpet area: 587 (54.53 sq.m.),2.0,2,2,2,West,Old Property,North,,,587.0,0,0,0,0,0,0,0.0
hiland greens,0.32,maheshtala,4494.0,Carpet area: 712 (66.15 sq.m.),2.0,2,1,14,,New Property,South,,,712.0,0,0,0,0,0,1,77.0
manmatha bhavan,0.3,ichapore,4615.0,Super Built up area 820(76.18 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2.0,2,1,3,,Relatively New,North,820.0,,650.0,0,0,0,0,0,2,0.0
symphony towers,0.44,behala,5432.0,Carpet area: 810 (75.25 sq.m.),2.0,2,1,3,South-West,Relatively New,South,,,810.0,0,0,0,1,0,2,92.0
airport tower,0.38,italgacha,3977.0,Super Built up area 880(81.75 sq.m.),2.0,2,1,2,South-West,Moderately Old,North,880.0,,,0,0,0,0,0,0,14.0
srijan eternia,0.6,madhyamgram,5687.0,Super Built up area 1267(117.71 sq.m.)Carpet area: 1055 sq.ft. (98.01 sq.m.),3.0,2,1,7,South,New Property,North,1267.0,,1055.0,0,0,0,0,0,0,161.0
ideal aurum,0.61,kamalgazi,5191.0,Super Built up area 1175(109.16 sq.m.)Carpet area: 782 sq.ft. (72.65 sq.m.),3.0,2,1,14,South-East,New Property,South,1175.0,,782.0,0,0,0,0,0,0,29.0
shrachi greenwood nest,0.98,new town,7780.0,Built Up area: 1266 (117.62 sq.m.),2.0,2,1,2,South-West,Moderately Old,East,,1266.0,,1,0,0,0,0,0,0.0
raj palace,0.5,nalta,5263.0,Carpet area: 950 (88.26 sq.m.),2.0,2,1,2,South-East,Relatively New,North,,,950.0,0,0,0,0,0,1,33.0
sananda apartments,0.75,shobhabazar,7500.0,Carpet area: 1000 (92.9 sq.m.),2.0,2,1,1,South-East,Old Property,North,,,1000.0,0,0,0,1,0,0,0.0
landscape 1,0.42,baguiati,3818.0,Carpet area: 1100 (102.19 sq.m.),3.0,2,1,4,South-East,Old Property,North,,,1100.0,0,0,0,1,0,2,12.0
k.n.c road nayan kanan,0.75,barasat,6818.0,Built Up area: 1302 (120.96 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),5.0,3,1,2,South-West,Old Property,North,,1302.0,1100.0,0,0,0,0,0,0,106.0
hiland greens,0.35,maheshtala,4915.0,Super Built up area 712(66.15 sq.m.),2.0,2,1,8,North-East,Relatively New,South,712.0,,,0,0,0,0,1,0,72.0
eden city,0.6,behala,3412.0,Super Built up area 1524(141.58 sq.m.)Carpet area: 1410 sq.ft. (130.99 sq.m.),3.0,3,1,12,South-East,Relatively New,South,1524.0,,1410.0,0,0,0,1,0,0,95.0
sharda garden,0.28,joka,2886.0,Super Built up area 970(90.12 sq.m.),2.0,2,2,3,,Old Property,South,970.0,,,0,0,0,0,0,0,0.0
mg road,0.45,tollygunge,5233.0,Built Up area: 860 (79.9 sq.m.),2.0,2,1,2,South-East,New Property,South,,860.0,,0,0,0,0,0,0,41.0
sucasa residency,0.4,sonarpur,3342.0,Carpet area: 1137 (105.63 sq.m.),3.0,2,1,3,North,Moderately Old,South,,,1137.0,0,0,0,0,1,2,33.0
the banyan tree garden,0.77,new town,8622.0,Super Built up area 1145(106.37 sq.m.)Carpet area: 893 sq.ft. (82.96 sq.m.),3.0,2,1,5,South-East,New Property,East,1145.0,,893.0,0,0,0,0,0,0,60.0
realtech gharoa,0.56,rajarhat,7000.0,Super Built up area 1188(110.37 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),3.0,2,1,3,North-West,Moderately Old,East,1188.0,,800.0,0,0,0,0,0,1,85.0
durga plaza,0.23,baguiati,2984.0,Carpet area: 754 (70.05 sq.m.),2.0,2,1,3,North,Moderately Old,North,,,754.0,0,0,0,0,0,0,46.0
mayfair green wood,0.25,malancha mahi nagar,3472.0,Super Built up area 720(66.89 sq.m.),2.0,2,0,1,North,Relatively New,South,720.0,,,0,0,0,0,0,2,7.0
highland greens,0.2,maheshtala,4474.0,Carpet area: 447 (41.53 sq.m.),2.0,2,1,3,South-East,Relatively New,South,,,447.0,0,0,0,0,0,0,49.0
ghadhuli apartment,0.46,bagha jat,4000.0,Super Built up area 1020(94.76 sq.m.),2.0,2,1,4,South-East,Old Property,South,1020.0,,,0,0,0,0,0,0,32.0
naramada apartment,0.33,dum dum,4004.0,Super Built up area 824(76.55 sq.m.),2.0,2,1,3,South-West,Old Property,North,824.0,,,0,0,0,0,0,2,19.0
godrej prakriti,0.8,sodepur,5500.0,Super Built up area 1359(126.26 sq.m.),3.0,2,2,10,South-West,Moderately Old,North,1359.0,,,0,0,1,0,0,2,100.0
narendrapur project,0.16,narendrapur,3214.0,Built Up area: 560 (52.03 sq.m.)Carpet area: 490 sq.ft. (45.52 sq.m.),2.0,1,0,0,,Relatively New,South,,560.0,490.0,0,0,0,0,0,0,0.0
meridian splendora,1.25,paikpara,8468.0,Built Up area: 1476 (137.12 sq.m.),3.0,2,2,13,North-East,New Property,North,,1476.0,,0,0,0,0,1,2,38.0
siddha town,0.31,rajarhat,3935.0,Super Built up area 780(72.46 sq.m.)Carpet area: 630 sq.ft. (58.53 sq.m.),2.0,2,1,4,South-East,New Property,East,780.0,,630.0,0,0,0,0,0,2,107.0
ideal aquaview,0.85,new town,7870.0,Super Built up area 1080(100.34 sq.m.),3.0,2,1,5,,New Property,East,1080.0,,,0,0,0,0,0,1,105.0
dakshini apartments,0.5,kasba,6250.0,Carpet area: 800 (74.32 sq.m.),2.0,2,1,1,South-East,Relatively New,South,,,800.0,0,0,0,0,0,0,13.0
"shantir thikana apartment, parnashree pally",0.42,behala,5833.0,Carpet area: 720 (66.89 sq.m.),2.0,2,1,1,South-West,Old Property,South,,,720.0,0,0,0,0,0,2,67.0
meena ganga apartment,0.75,krishnapur,5365.0,Super Built up area 1230(114.27 sq.m.),3.0,2,1,5,South-East,Old Property,North,1230.0,,,0,0,0,0,0,2,6.0
sivanand apartment,0.3,nayabad,3076.0,Super Built up area 975(90.58 sq.m.),2.0,2,2,2,,Moderately Old,South,975.0,,,0,0,0,0,0,0,0.0
eden pavilion,0.65,fartabad,5118.0,Super Built up area 1270(117.99 sq.m.),3.0,2,1,1,South,Moderately Old,South,1270.0,,,0,0,0,0,0,0,71.0
sunity apartment,0.28,garia,3200.0,Super Built up area 1000(92.9 sq.m.),2.0,2,1,2,East,Moderately Old,South,1000.0,,,0,0,0,0,0,0,6.0
ideal enclave,0.75,bablatala,6382.0,Super Built up area 1175(109.16 sq.m.),2.0,2,1,5,,Moderately Old,East,1175.0,,,0,0,0,0,0,2,112.0
shantikunja flat,0.19,garia,3800.0,Super Built up area 500(46.45 sq.m.),2.0,1,1,3,,Old Property,South,500.0,,,0,0,0,0,0,0,0.0
upasana,0.42,sahapur,4421.0,Super Built up area 950(88.26 sq.m.),2.0,2,0,0,East,Old Property,South,950.0,,,0,0,0,0,0,0,0.0
harbour heights,1.24,alipore,13333.0,Carpet area: 930 (86.4 sq.m.),2.0,2,1,5,South-East,Old Property,South,,,930.0,0,1,0,0,0,2,132.0
mahamaya  apartment bidhanpally,0.32,naktala,5333.0,Built Up area: 730 (67.82 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2.0,2,0,0,East,Old Property,South,,730.0,600.0,0,0,0,0,0,1,0.0
